id,houses,features,constraints,solution
lgp-test-5x6-16,5,"{'name': ['Peter', 'Alice', 'Bob', 'Eric', 'Arnold'], 'nationalities': ['norwegian', 'german', 'dane', 'brit', 'swede'], 'genres': ['fantasy', 'biography', 'romance', 'mystery', 'science fiction'], 'lunch': ['stir fry', 'grilled cheese', 'pizza', 'spaghetti', 'stew'], 'color': ['red', 'green', 'blue', 'yellow', 'white'], 'animals': ['bird', 'dog', 'cat', 'horse', 'fish']}","['The person who loves fantasy books is the Norwegian.', 'The cat lover and the person who loves biography books are next to each other.', 'The German is Bob.', 'The person who loves yellow is Bob.', 'The person whose favorite color is green is Peter.', 'There is one house between the Dane and the person who is a pizza lover.', 'The person who loves blue is somewhere to the left of the Dane.', 'The person who loves eating grilled cheese is somewhere to the left of the Norwegian.', 'The person who loves the spaghetti eater is Peter.', 'The person who keeps horses is Alice.', 'The fish enthusiast is directly left of the person who loves science fiction books.', 'There is one house between the Norwegian and Arnold.', 'The person who loves romance books is the British person.', 'There are two houses between the Norwegian and Alice.', 'The bird keeper is the person whose favorite color is red.', 'The dog owner is directly left of the fish enthusiast.', 'The person who loves the stew is the Norwegian.']","{'header': array(['House', 'Name', 'Nationality', 'BookGenre', 'Food', 'Color',
       'Animal'], dtype=object), 'rows': array([array(['1', 'Bob', 'german', 'mystery', 'grilled cheese', 'yellow', 'dog'],
             dtype=object)                                                        ,
       array(['2', 'Eric', 'norwegian', 'fantasy', 'stew', 'blue', 'fish'],
             dtype=object)                                                 ,
       array(['3', 'Peter', 'dane', 'science fiction', 'spaghetti', 'green',
              'cat'], dtype=object)                                         ,
       array(['4', 'Arnold', 'swede', 'biography', 'stir fry', 'red', 'bird'],
             dtype=object)                                                    ,
       array(['5', 'Alice', 'brit', 'romance', 'pizza', 'white', 'horse'],
             dtype=object)                                                ],
      dtype=object)}"
lgp-test-4x4-27,4,"{'name': ['Alice', 'Eric', 'Arnold', 'Peter'], 'occupation': ['artist', 'engineer', 'teacher', 'doctor'], 'genres': ['fantasy', 'science fiction', 'mystery', 'romance'], 'models': ['google pixel 6', 'iphone 13', 'oneplus 9', 'samsung galaxy s21']}","['The person who is an engineer is directly left of the person who uses a Samsung Galaxy S21.', 'The person who loves fantasy books is in the second house.', 'Alice is not in the second house.', 'Eric is the person who is a teacher.', 'The person who uses a Samsung Galaxy S21 is the person who loves fantasy books.', 'The person who uses an iPhone 13 is the person who loves science fiction books.', 'The person who loves science fiction books is somewhere to the left of the person who uses a OnePlus 9.', 'The person who uses a OnePlus 9 is Arnold.', 'The person who is a doctor is the person who loves mystery books.', 'The person who uses an iPhone 13 is the person who is a teacher.']","{'header': array(['House', 'Name', 'Occupation', 'BookGenre', 'PhoneModel'],
      dtype=object), 'rows': array([array(['1', 'Alice', 'engineer', 'romance', 'google pixel 6'],
             dtype=object)                                           ,
       array(['2', 'Peter', 'artist', 'fantasy', 'samsung galaxy s21'],
             dtype=object)                                             ,
       array(['3', 'Eric', 'teacher', 'science fiction', 'iphone 13'],
             dtype=object)                                            ,
       array(['4', 'Arnold', 'doctor', 'mystery', 'oneplus 9'], dtype=object)],
      dtype=object)}"
lgp-test-6x4-15,6,"{'name': ['Bob', 'Alice', 'Peter', 'Eric', 'Arnold', 'Carol'], 'child': ['Fred', 'Timothy', 'Samantha', 'Alice', 'Meredith', 'Bella'], 'genres': ['pop', 'hip hop', 'classical', 'jazz', 'rock', 'country'], 'heights': ['average', 'very tall', 'tall', 'super tall', 'very short', 'short']}","[""There is one house between the person's child is named Samantha and the person who is short."", ""The person's child is named Alice is Bob."", 'The person who loves country music is directly left of Arnold.', 'Alice is the person who is tall.', 'The person who loves pop music is Eric.', 'Bob is somewhere to the right of the person who is super tall.', ""The person's child is named Fred is Peter."", ""The person's child is named Bella is the person who loves hip-hop music."", 'The person who is the mother of Timothy is not in the sixth house.', 'The person who is super tall is somewhere to the right of the person who has an average height.', ""The person's child is named Alice is somewhere to the right of Arnold."", 'There is one house between the person who is short and the person who is very short.', 'The person who is very short is in the fifth house.', 'The person who loves jazz music is not in the fifth house.', 'Carol is somewhere to the left of the person who is the mother of Timothy.', 'The person who is very tall is not in the sixth house.', 'The person who loves classical music is in the sixth house.', 'The person who loves rock music is in the first house.']","{'header': array(['House', 'Name', 'Children', 'MusicGenre', 'Height'], dtype=object), 'rows': array([array(['1', 'Carol', 'Samantha', 'rock', 'average'], dtype=object),
       array(['2', 'Peter', 'Fred', 'country', 'super tall'], dtype=object),
       array(['3', 'Arnold', 'Bella', 'hip hop', 'short'], dtype=object),
       array(['4', 'Bob', 'Alice', 'jazz', 'very tall'], dtype=object),
       array(['5', 'Eric', 'Timothy', 'pop', 'very short'], dtype=object),
       array(['6', 'Alice', 'Meredith', 'classical', 'tall'], dtype=object)],
      dtype=object)}"
lgp-test-6x5-2,6,"{'name': ['Bob', 'Arnold', 'Carol', 'Alice', 'Peter', 'Eric'], 'unique': ['Sarah', 'Janelle', 'Aniya', 'Kailyn', 'Holly', 'Penny'], 'child': ['Fred', 'Samantha', 'Bella', 'Meredith', 'Alice', 'Timothy'], 'vacation': ['city', 'mountain', 'camping', 'beach', 'cruise', 'cultural'], 'genres': ['romance', 'mystery', 'historical fiction', 'science fiction', 'biography', 'fantasy']}","['The person who loves beach vacations is not in the second house.', 'The person who loves fantasy books is somewhere to the left of Peter.', ""The person whose mother's name is Sarah is the person who prefers city breaks."", 'The person who enjoys camping trips is somewhere to the right of Peter.', ""The person who likes going on cruises is the person's child is named Meredith."", 'There is one house between the person who is the mother of Timothy and Eric.', ""The person whose mother's name is Janelle is not in the second house."", ""The person's child is named Fred is somewhere to the left of Eric."", 'The person who goes on cultural tours is in the fourth house.', ""The person whose mother's name is Janelle is not in the first house."", ""The person whose mother's name is Holly is somewhere to the right of the person who loves historical fiction books."", ""The person's child is named Bella is somewhere to the left of Alice."", 'Arnold is somewhere to the right of the person who loves fantasy books.', 'The person who loves mystery books is in the fourth house.', ""The person's child is named Alice is the person who enjoys camping trips."", ""The person whose mother's name is Kailyn is the person who likes going on cruises."", ""There are two houses between the person who loves fantasy books and The person whose mother's name is Aniya."", 'The person who loves fantasy books is Carol.', 'The person who likes going on cruises is the person who loves biography books.', 'The person who loves fantasy books is in the third house.', ""The person whose mother's name is Aniya is the person who loves romance books."", ""The person whose mother's name is Janelle is not in the fourth house."", ""The person's child is named Fred is not in the fourth house."", 'The person who loves biography books is not in the second house.', ""There are two houses between The person whose mother's name is Holly and Eric.""]","{'header': array(['House', 'Name', 'Mother', 'Children', 'Vacation', 'BookGenre'],
      dtype=object), 'rows': array([array(['1', 'Bob', 'Sarah', 'Bella', 'city', 'historical fiction'],
             dtype=object)                                                ,
       array(['2', 'Alice', 'Holly', 'Fred', 'mountain', 'science fiction'],
             dtype=object)                                                  ,
       array(['3', 'Carol', 'Janelle', 'Timothy', 'beach', 'fantasy'],
             dtype=object)                                            ,
       array(['4', 'Peter', 'Penny', 'Samantha', 'cultural', 'mystery'],
             dtype=object)                                              ,
       array(['5', 'Eric', 'Kailyn', 'Meredith', 'cruise', 'biography'],
             dtype=object)                                              ,
       array(['6', 'Arnold', 'Aniya', 'Alice', 'camping', 'romance'],
             dtype=object)                                           ],
      dtype=object)}"
lgp-test-2x2-33,2,"{'name': ['Eric', 'Arnold'], 'pet': ['dog', 'cat']}","['Eric is somewhere to the left of Arnold.', 'The person who owns a dog is not in the first house.']","{'header': array(['House', 'Name', 'Pet'], dtype=object), 'rows': array([array(['1', 'Eric', 'cat'], dtype=object),
       array(['2', 'Arnold', 'dog'], dtype=object)], dtype=object)}"
lgp-test-4x4-3,4,"{'name': ['Eric', 'Arnold', 'Alice', 'Peter'], 'unique': ['Holly', 'Kailyn', 'Aniya', 'Janelle'], 'month': ['april', 'feb', 'sept', 'jan'], 'house': ['ranch', 'colonial', 'victorian', 'craftsman']}","['Peter is the person whose birthday is in February.', 'The person whose birthday is in February is not in the fourth house.', 'The person whose birthday is in January is somewhere to the right of the person in a ranch-style home.', 'The person whose birthday is in January is directly left of Eric.', 'The person in a ranch-style home is the person whose birthday is in April.', ""The person whose mother's name is Janelle is the person whose birthday is in September."", ""The person in a ranch-style home and The person whose mother's name is Kailyn are next to each other."", ""Arnold is The person whose mother's name is Holly."", ""The person whose mother's name is Kailyn is directly left of the person residing in a Victorian house."", 'The person whose birthday is in January is the person in a Craftsman-style house.']","{'header': array(['House', 'Name', 'Mother', 'Birthday', 'HouseStyle'], dtype=object), 'rows': array([array(['1', 'Peter', 'Aniya', 'feb', 'colonial'], dtype=object),
       array(['2', 'Arnold', 'Holly', 'april', 'ranch'], dtype=object),
       array(['3', 'Alice', 'Kailyn', 'jan', 'craftsman'], dtype=object),
       array(['4', 'Eric', 'Janelle', 'sept', 'victorian'], dtype=object)],
      dtype=object)}"
lgp-test-2x4-5,2,"{'name': ['Eric', 'Arnold'], 'flower': ['carnations', 'daffodils'], 'color': ['red', 'yellow'], 'heights': ['very short', 'short']}","['The person who loves a bouquet of daffodils is in the first house.', 'The person who is very short is not in the first house.', 'The person whose favorite color is red is in the first house.', 'Eric is not in the second house.']","{'header': array(['House', 'Name', 'Flower', 'Color', 'Height'], dtype=object), 'rows': array([array(['1', 'Eric', 'daffodils', 'red', 'short'], dtype=object),
       array(['2', 'Arnold', 'carnations', 'yellow', 'very short'], dtype=object)],
      dtype=object)}"
lgp-test-5x5-30,5,"{'name': ['Alice', 'Peter', 'Bob', 'Eric', 'Arnold'], 'education': ['master', 'bachelor', 'doctorate', 'high school', 'associate'], 'color': ['yellow', 'green', 'blue', 'red', 'white'], 'vacation': ['mountain', 'camping', 'cruise', 'beach', 'city'], 'models': ['huawei p50', 'google pixel 6', 'iphone 13', 'oneplus 9', 'samsung galaxy s21']}","[""Alice is the person with a master's degree."", 'The person who uses a OnePlus 9 is the person with a doctorate.', 'The person who loves blue is somewhere to the left of Bob.', 'The person who prefers city breaks is Peter.', 'The person who loves beach vacations is the person whose favorite color is green.', 'The person who loves white is the person who uses an iPhone 13.', 'The person who uses a OnePlus 9 is the person who enjoys mountain retreats.', 'The person who uses a Huawei P50 is somewhere to the left of the person whose favorite color is red.', 'The person who loves beach vacations is not in the first house.', 'Alice is in the fourth house.', 'Eric and Peter are next to each other.', 'Alice is the person whose favorite color is red.', 'There is one house between Peter and the person who uses a OnePlus 9.', ""The person with a bachelor's degree is the person who uses a Samsung Galaxy S21."", 'The person who enjoys camping trips is the person who loves blue.', 'The person who loves beach vacations is the person with a high school diploma.']","{'header': array(['House', 'Name', 'Education', 'Color', 'Vacation', 'PhoneModel'],
      dtype=object), 'rows': array([array(['1', 'Arnold', 'bachelor', 'blue', 'camping', 'samsung galaxy s21'],
             dtype=object)                                                        ,
       array(['2', 'Eric', 'high school', 'green', 'beach', 'huawei p50'],
             dtype=object)                                                ,
       array(['3', 'Peter', 'associate', 'white', 'city', 'iphone 13'],
             dtype=object)                                             ,
       array(['4', 'Alice', 'master', 'red', 'cruise', 'google pixel 6'],
             dtype=object)                                               ,
       array(['5', 'Bob', 'doctorate', 'yellow', 'mountain', 'oneplus 9'],
             dtype=object)                                                ],
      dtype=object)}"
lgp-test-3x5-34,3,"{'name': ['Peter', 'Eric', 'Arnold'], 'color': ['white', 'red', 'yellow'], 'models': ['google pixel 6', 'samsung galaxy s21', 'iphone 13'], 'genres': ['classical', 'rock', 'pop'], 'education': ['high school', 'bachelor', 'associate']}","['The person who loves pop music is Peter.', 'Arnold is the person who loves classical music.', ""The person with a bachelor's degree is not in the first house."", 'The person who loves white is in the second house.', 'The person who loves pop music is in the first house.', ""The person who uses a Samsung Galaxy S21 is the person with an associate's degree."", ""The person with a bachelor's degree is the person whose favorite color is red."", 'The person with a high school diploma is the person who uses a Google Pixel 6.', 'The person who uses a Samsung Galaxy S21 is the person who loves rock music.']","{'header': array(['House', 'Name', 'Color', 'PhoneModel', 'MusicGenre', 'Education'],
      dtype=object), 'rows': array([array(['1', 'Peter', 'yellow', 'google pixel 6', 'pop', 'high school'],
             dtype=object)                                                    ,
       array(['2', 'Eric', 'white', 'samsung galaxy s21', 'rock', 'associate'],
             dtype=object)                                                     ,
       array(['3', 'Arnold', 'red', 'iphone 13', 'classical', 'bachelor'],
             dtype=object)                                                ],
      dtype=object)}"
lgp-test-4x5-3,4,"{'name': ['Arnold', 'Peter', 'Eric', 'Alice'], 'unique': ['Holly', 'Kailyn', 'Aniya', 'Janelle'], 'genres': ['science fiction', 'mystery', 'fantasy', 'romance'], 'color': ['green', 'red', 'white', 'yellow'], 'vacation': ['mountain', 'cruise', 'beach', 'city']}","['The person who loves romance books and the person who likes going on cruises are next to each other.', ""Arnold is The person whose mother's name is Janelle."", 'The person who prefers city breaks is the person who loves yellow.', 'The person who loves science fiction books is directly left of Peter.', ""The person who loves science fiction books is somewhere to the left of The person whose mother's name is Kailyn."", 'The person who loves beach vacations is not in the first house.', 'There is one house between Alice and the person who likes going on cruises.', 'The person who loves mystery books is the person who loves white.', 'Peter is the person who prefers city breaks.', 'The person whose favorite color is green is in the third house.', ""The person whose mother's name is Aniya is Peter."", ""The person whose favorite color is green is The person whose mother's name is Janelle.""]","{'header': array(['House', 'Name', 'Mother', 'BookGenre', 'Color', 'Vacation'],
      dtype=object), 'rows': array([array(['1', 'Alice', 'Holly', 'science fiction', 'red', 'mountain'],
             dtype=object)                                                 ,
       array(['2', 'Peter', 'Aniya', 'romance', 'yellow', 'city'], dtype=object),
       array(['3', 'Arnold', 'Janelle', 'fantasy', 'green', 'cruise'],
             dtype=object)                                            ,
       array(['4', 'Eric', 'Kailyn', 'mystery', 'white', 'beach'], dtype=object)],
      dtype=object)}"
